"dep_var","estimate","std.error","p.value","conf.low","conf.high"
"child_manners",-0.00799350668282384,0.00241708062703863,0.00154909991314494,-0.0128221803283357,-0.00316483303731196
"child_independence",0.0108941499484399,0.00181290235333489,0.0000000977121854698688,0.00727246115680049,0.0145158387400794
"child_hard_work",-0.00924900441133015,0.00231211614984955,0.000166692016976017,-0.0138679874081114,-0.00463002141454886
"child_responsibility",0.0139756839244221,0.00158892883909615,0.00000000000128739615773275,0.0108014336639592,0.0171499341848851
"child_imagination",0.009319098466958,0.00228993934219877,0.000131761991245666,0.00474441873645877,0.0138937781974572
"child_tolerance",0.0115130572234659,0.00191282430455349,0.0000000940671664111826,0.00769175138675973,0.015334363060172
"child_thrift",-0.00667509114523597,0.00200757841297966,0.00146703321569158,-0.0106856900742135,-0.00266449221625845
"child_perseverance",0.0182010406861937,0.00269637190568503,0.00000000509453766829012,0.0128144185711376,0.0235876628012498
"child_faith",-0.00372937851701504,0.00196833074421744,0.0626528011296725,-0.00766157121424343,0.000202814180213342
"child_unselfish",0.00607615394340716,0.0020606074473135,0.00445073073780729,0.00195961734000111,0.0101926905468132
"child_obedience",-0.0149124625178193,0.00164046848841905,0.000000000000393464464505303,-0.0181896750641077,-0.0116352499715308
